,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Roll in Peace (feat. XXXTENTACION),0.747,0.524,10,-6.807,0,0.245,0.0306,0.0,0.2,0.363,140.053,213132,2017
Everybody Dies In Their Nightmares,0.737,0.557,7,-7.045,0,0.0861,0.821,1.82e-05,0.118,0.74,129.915,95467,2022
the remedy for a broken heart (why am I so in love),0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,160184,2018
Hope,0.454,0.387,0,-14.433,1,0.097,0.741,0.000458,0.17,0.136,96.453,360374,2017
wokeuplikethis*,0.785,0.62,8,-6.667,1,0.254,0.0138,0.0,0.15,0.478,78.477,235535,2017
Ps & Qs,0.522,0.428,11,-11.332,0,0.143,0.235,2.35e-06,0.278,0.399,129.829,221538,2016
Dark Queen,0.747,0.606,4,-5.286,1,0.172,0.222,0.0,0.281,0.2,155.055,173419,2017
Bad and Boujee (feat. Lil Uzi Vert),0.926,0.666,11,-5.314,1,0.244,0.0611,0.0,0.123,0.168,127.079,343150,2017
Tunnel Vision,0.497,0.489,11,-7.724,0,0.294,0.0576,9.91e-05,0.122,0.231,171.853,268187,2017
White Iverson,0.675,0.562,7,-7.678,1,0.0352,0.233,0.0,0.0816,0.309,130.098,256533,2016
Audi.,0.793,0.366,7,-10.051,1,0.136,0.0214,0.0,0.0964,0.278,122.991,159522,2017
The Race,0.788,0.533,9,-7.594,1,0.352,0.0168,0.0,0.204,0.468,80.04,140945,2017
Betrayed,0.823,0.419,10,-10.358,0,0.165,0.416,0.0,0.105,0.277,119.958,187453,2017
God's Plan,0.758,0.448,7,-9.441,1,0.103,0.0309,8.67e-05,0.558,0.373,77.176,198960,2018
iSpy (feat. Kodak Black),0.776,0.724,7,-4.874,1,0.216,0.455,0.0,0.109,0.677,74.987,227779,2017
Transportin',0.804,0.66,10,-4.86,0,0.0726,0.0319,0.0,0.103,0.257,94.053,169345,2017
Faucet Failure,0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,145627,2018
Nuketown (feat. Juice WRLD),0.808,0.617,10,-9.32,0,0.442,0.113,0.0,0.734,0.632,149.962,166400,2018
Carbonated Water,0.938,0.559,10,-6.734,1,0.312,0.0546,0.0,0.157,0.76,119.901,141040,2019
Love Scars,0.659,0.614,9,-7.32,0,0.0541,0.000404,0.0,0.123,0.26,119.405,143969,2017
Snake Skin,0.669,0.557,8,-8.835,0,0.0498,0.0574,0.0,0.0662,0.553,144.043,186944,2019
Dark Knight Dummo (Feat. Travis Scott),0.28,0.821,8,-2.864,0,0.111,0.167,0.0,0.139,0.254,181.444,256163,2017
Poles 1469,0.741,0.761,4,-3.871,0,0.0512,0.235,0.0,0.119,0.217,81.543,149576,2017
!,0.725,0.543,5,-6.311,1,0.0841,0.0296,0.0,0.177,0.693,119.961,135339,2019
Wish,0.57,0.903,9,-4.835,1,0.0905,0.0748,0.0,0.199,0.603,93.943,175273,2018
Broccoli,0.886,0.525,8,-7.39,1,0.132,0.236,0.0,0.057,0.708,145.99,225205,2016
Lucid Dreams,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,2018
One Night,0.764,0.475,0,-12.618,1,0.114,0.345,0.0,0.14,0.34,129.974,243270,2016
Better Now,0.68,0.578,10,-5.804,1,0.04,0.331,0.0,0.135,0.341,145.038,231267,2018
Praise The Lord (Da Shine) (feat. Skepta),0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,205040,2018
Esskeetit,0.934,0.505,11,-7.648,1,0.168,0.0229,0.0,0.0867,0.691,139.93,181714,2019
Taste (feat. Offset),0.884,0.559,0,-7.442,1,0.12,0.0236,0.0,0.101,0.342,97.994,232959,2018
I Love It (& Lil Pump),0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,127947,2018
Arms Around You (feat. Maluma & Swae Lee),0.703,0.723,9,-5.45,0,0.0412,0.0302,2.06e-06,0.126,0.288,104.969,198903,2018
Gucci Gang,0.95,0.533,5,-7.022,1,0.148,0.247,0.0,0.114,0.675,119.869,124056,2017
Lalala,0.843,0.391,2,-7.899,1,0.0845,0.181,0.0,0.137,0.496,129.972,160615,2019
Leave Me Alone,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,195637,2018
iSpy (feat. Lil Yachty),0.746,0.653,7,-6.745,1,0.289,0.378,0.0,0.229,0.672,75.016,253107,2016
Yacht Club (feat. Juice WRLD),0.721,0.508,7,-7.496,1,0.394,0.317,0.0,0.153,0.457,159.911,166343,2018
Gucci Flip Flops (feat. Lil Yachty),0.82,0.603,8,-7.18,1,0.308,0.0351,0.0159,0.122,0.177,159.976,151851,2018
Hey Julie! (feat. Lil Yachty),0.801,0.505,11,-5.829,1,0.293,0.0446,9.52e-06,0.122,0.757,161.059,156443,2018
Magnolia,0.795,0.584,11,-7.322,0,0.29,0.0115,0.0,0.52,0.452,163.005,181812,2017
Shoota (feat. Lil Uzi Vert),0.673,0.649,1,-8.433,0,0.196,0.188,0.0,0.122,0.47,153.075,153800,2018
Love Hurts (feat. Travis Scott),0.724,0.45,4,-5.763,0,0.0497,0.0315,1.42e-05,0.111,0.464,140.978,180560,2018
FlatBed Freestyle,0.755,0.552,9,-5.604,1,0.288,0.0967,0.0,0.158,0.402,153.157,193973,2018
a lot,0.837,0.636,1,-7.643,1,0.086,0.0395,0.00125,0.342,0.274,145.972,288624,2018
Bank Account,0.884,0.347,8,-8.227,0,0.35,0.015,7e-06,0.0871,0.376,75.016,220307,2017
Immortal,0.744,0.43,3,-10.604,0,0.309,0.455,2.73e-06,0.126,0.266,92.039,201667,2016
New Patek,0.85,0.785,8,-4.963,0,0.345,0.0367,0.0,0.155,0.718,145.063,343099,2018
NUMB,0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,186268,2018
"I don’t even speak spanish lol - feat. Rio Santana, Judah, Andrez Babii",0.767,0.561,2,-7.418,0,0.0509,0.118,0.0,0.0737,0.542,90.021,192229,2018
Goat,0.712,0.562,1,-12.361,1,0.0568,0.00149,0.0,0.16,0.55,150.051,144375,2020
Under Enemy Arms,0.751,0.756,9,-5.453,0,0.0375,0.257,0.0,0.0582,0.644,129.954,162528,2019
Burberry Headband,0.714,0.647,8,-6.865,1,0.037,0.598,0.0,0.0943,0.67,150.992,146225,2018
INTRO,0.868,0.544,1,-7.981,1,0.286,0.117,0.0,0.0693,0.706,89.976,121365,2021
Heartless (feat. Mustard),0.776,0.64,7,-8.058,1,0.184,0.149,0.0,0.101,0.326,160.038,204000,2020
Free Youngboy,0.698,0.791,10,-6.581,0,0.255,0.0133,0.0,0.361,0.838,87.497,164833,2019
Pull Up (feat. Lil Uzi Vert & YNW Melly),0.873,0.452,0,-7.124,0,0.369,0.0474,0.0,0.0495,0.585,77.031,162400,2019
BOP,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,2019
FIND HIM!,0.769,0.523,7,-9.762,1,0.273,0.089,0.0,0.16,0.449,139.785,102857,2019
crash my whip,0.704,0.572,3,-7.107,0,0.038,0.185,0.0,0.124,0.17,90.013,118667,2019
Long Time,0.392,0.628,1,-7.315,1,0.0919,0.729,0.0,0.127,0.773,131.189,225000,2012
Freddy Krueger (feat. Tee Grizzley),0.834,0.621,7,-6.156,1,0.0821,0.0918,0.0,0.0759,0.613,140.05,244506,2018
SOLVED THE PROBLEM,0.935,0.699,10,-10.394,0,0.25,0.00278,1.52e-05,0.101,0.683,98.44,117073,2019
Every Season,0.936,0.704,5,-5.47,0,0.457,0.0632,0.0,0.104,0.566,130.022,214376,2018
Mood Swings,0.941,0.676,4,-5.54,0,0.0936,0.211,4.64e-06,0.0986,0.93,120.073,156960,2020
Woah,0.883,0.599,11,-5.551,1,0.248,0.0177,0.0,0.179,0.413,142.976,183011,2020
"Chariot (feat. Meek Mill, Lil Durk & Young Thug)",0.808,0.694,11,-5.944,0,0.245,0.207,0.0,0.074,0.503,146.036,243520,2019
Virtual (Blue Balenciagas),0.767,0.715,8,-4.934,0,0.0523,0.312,0.0,0.0973,0.577,149.957,193618,2018
Self Control,0.572,0.209,8,-10.413,1,0.0313,0.765,0.0,0.356,0.446,80.069,249668,2016
Elimination,0.755,0.517,4,-9.804,0,0.0751,0.754,0.0,0.127,0.699,129.027,154560,2018
Make No Sense,0.876,0.733,10,-4.478,0,0.333,0.0208,0.0,0.0999,0.962,154.904,148630,2019
Swervin (feat. 6ix9ine),0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,189487,2018
Slime Belief,0.748,0.578,9,-5.72,1,0.194,0.257,0.0,0.13,0.166,140.016,192606,2018
Fr Fr (feat. Lil Skies),0.916,0.493,1,-7.371,0,0.162,0.12,2.63e-06,0.211,0.327,140.057,195591,2018
Welcome to the Rodeo,0.69,0.881,5,-4.297,0,0.284,0.128,0.0,0.0927,0.503,169.973,169412,2017
Dirty Dirty (feat. Lil Skies),0.79,0.574,5,-7.466,0,0.043,0.195,0.0,0.136,0.379,100.01,144011,2019
Heartless,0.79,0.647,10,-5.983,0,0.136,0.0515,0.0,0.248,0.654,87.999,211000,2008
