,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,release_year
Ryder Music,0.765,0.608,4,-5.692,0,0.266,0.0477,0.00141,0.0644,0.644,91.068,231587,2005
Black Illuminati (feat. Jadakiss),0.636,0.583,9,-5.115,0,0.426,0.0531,0.0,0.364,0.282,180.939,229333,2021
"Murder Music (feat. Benny The Butcher, Jadakiss, Busta Rhymes)",0.504,0.869,8,-5.374,1,0.363,0.178,0.0,0.12,0.749,165.766,244422,2021
"BIG PERSONA (feat. Tyler, The Creator)",0.683,0.515,2,-6.668,1,0.101,0.0255,9.85e-05,0.209,0.158,145.963,145244,2021
Make Some Money (Fabolous & Dave East feat. Snoop Dogg),0.86,0.68,0,-4.393,1,0.292,0.00254,0.0,0.427,0.677,105.032,162728,2021
Trapped In,0.739,0.626,1,-7.814,1,0.341,0.0231,0.0,0.107,0.359,145.917,265705,2020
I Got Money,0.401,0.79,10,-8.083,0,0.439,0.232,0.0,0.159,0.605,188.129,200720,2015
Gang Bang Anyway (feat. Jay Rock & ScHoolboy Q),0.46,0.723,1,-7.823,1,0.766,0.232,0.0,0.554,0.542,85.914,305467,2016
The Ghetto (feat. Nas & will.i.am),0.656,0.615,8,-8.553,0,0.397,0.181,0.0,0.816,0.43,90.378,361440,2016
From Adam (feat. Lil Wayne),0.685,0.741,9,-4.623,0,0.323,0.282,0.0,0.322,0.522,80.826,225733,2016
Gang Related (feat. Asia),0.48,0.531,8,-9.007,1,0.466,0.635,0.0,0.454,0.572,81.627,249667,2016
"Outside (feat. E-40, Mvrcus Blvck & Lil E)",0.781,0.661,7,-7.502,0,0.331,0.103,0.0,0.141,0.394,99.992,240680,2016
"Up On The Wall (feat. Problem, Ty Dolla $ign & YG)",0.755,0.595,11,-6.421,1,0.34,0.0685,0.0,0.147,0.509,101.987,305440,2016
"My Flag/Da Homies (feat. Ty Dolla $ign, Jay 305, AD, Mitch E-Slick, Joe Moses, RJ & Skeme)",0.548,0.637,0,-7.897,1,0.516,0.116,0.0,0.652,0.349,98.566,397067,2016
"Moment Of Violence (feat. King Mez, JT & Jon Conner)",0.467,0.791,11,-5.349,0,0.354,0.0277,0.0,0.292,0.237,135.902,202880,2016
The Game & Skrillex: El Chapo,0.754,0.909,6,-3.323,0,0.23,0.138,0.0,0.281,0.591,126.994,220079,2015
On Me (feat. Kendrick Lamar),0.483,0.662,2,-9.18,1,0.541,0.136,0.0,0.796,0.664,85.798,285640,2016
Step Up (feat. Dej Loaf & Sha Sha),0.278,0.759,2,-6.397,1,0.323,0.0171,0.0,0.882,0.65,176.445,167587,2016
"Don't Trip (feat. Ice Cube, Dr. Dre & will.i.am)",0.812,0.626,7,-7.504,1,0.366,0.169,0.0,0.534,0.505,100.968,299640,2016
Standing On Ferraris (feat. Diddy),0.67,0.764,0,-6.609,1,0.502,0.197,0.0,0.423,0.768,112.629,251587,2016
Dollar And A Dream (feat. AB Soul),0.651,0.774,7,-6.258,1,0.3,0.223,0.0,0.526,0.468,87.104,352973,2016
Made In America (feat. Mvrcus Blvck),0.535,0.542,4,-8.343,0,0.355,0.123,0.0,0.293,0.508,83.329,194387,2016
Dedicated,0.703,0.54,9,-7.336,1,0.198,0.202,0.0,0.183,0.296,119.988,345960,2016
Summertime (feat. Jelly Roll),0.521,0.572,0,-8.703,1,0.0673,0.0562,0.0,0.243,0.354,79.562,223520,2016
Mula (feat. Kanye West),0.75,0.568,10,-8.199,0,0.361,0.252,0.0,0.577,0.346,99.173,235227,2016
The Documentary 2,0.542,0.807,7,-7.1,1,0.289,0.201,0.0,0.338,0.712,94.634,278547,2016
"New York, New York",0.837,0.524,2,-5.044,1,0.256,0.0248,1.47e-05,0.229,0.713,87.281,290273,2015
"LA (feat. Snoop Dogg, will.i.am & Fergie)",0.391,0.742,1,-8.762,0,0.396,0.109,0.0,0.112,0.653,79.734,327067,2016
Magnus Carlsen (feat. Anderson .Paak),0.396,0.634,8,-8.444,0,0.362,0.761,0.0,0.187,0.662,78.017,329027,2016
Crenshaw/80s and Cocaine (feat. Anderson .Paak & Sonyae),0.495,0.952,10,-4.818,0,0.368,0.067,0.0,0.287,0.551,84.438,275947,2016
Exhibit A (Transformations),0.455,0.804,9,-5.667,0,0.302,0.254,0.0,0.095,0.148,85.569,233258,2009
Strapped,0.852,0.651,7,-7.442,1,0.383,0.102,0.0,0.085,0.608,100.04,206400,2016
"You Know What It Is (feat. Manolo Rose, Icewear Vezzo & RJ)",0.729,0.669,10,-5.231,0,0.263,0.296,0.0,0.563,0.524,96.965,204422,2015
LAX Files,0.75,0.54,0,-7.149,1,0.0874,0.175,1.69e-06,0.559,0.265,130.019,239240,2008
My Life,0.682,0.613,1,-5.958,1,0.23,0.0198,0.0,0.162,0.204,118.601,172907,2013
Gentleman's Affair,0.676,0.6,7,-5.078,1,0.197,0.117,0.0,0.195,0.779,88.774,219347,2008
Never Can Say Goodbye,0.691,0.644,1,-2.936,1,0.325,0.179,0.0,0.0464,0.498,82.809,280267,2008
Dope Boys,0.733,0.813,1,-3.402,0,0.225,0.148,0.0,0.179,0.696,85.067,240507,2008
The City,0.574,0.787,11,-4.147,0,0.398,0.176,0.0,0.0918,0.302,144.474,341453,2011
Celebration,0.529,0.664,1,-8.915,1,0.0702,0.0307,0.0,0.319,0.438,109.272,178965,2018
Pray,0.676,0.66,0,-9.001,1,0.084,0.646,0.0,0.167,0.371,120.271,298160,2012
Name Me King,0.444,0.815,4,-7.64,0,0.352,0.0297,0.0,0.384,0.374,80.627,241680,2012
Scared Now,0.578,0.634,2,-5.339,1,0.128,0.028,0.0,0.11,0.181,74.051,299107,2012
Savage Lifestyle,0.477,0.933,10,-5.637,0,0.797,0.271,0.0,0.258,0.454,188.702,291213,2016
True Colors/It's On,0.513,0.684,1,-7.171,1,0.777,0.189,0.0,0.962,0.708,181.444,334467,2016
The Juice,0.578,0.894,5,-4.591,0,0.16,0.0374,0.0,0.105,0.43,143.168,227560,2016
Young Niggas,0.683,0.74,1,-5.512,1,0.274,0.0272,0.0,0.333,0.429,83.857,248520,2016
The Soundtrack,0.505,0.837,7,-6.826,1,0.252,0.0818,0.0,0.257,0.173,142.626,254667,2016
However Do You Want It,0.49,0.441,2,-7.846,0,0.126,0.0497,0.0,0.0817,0.0626,99.235,292133,2016
Baby You (feat. Jason Derulo),0.55,0.703,3,-6.01,0,0.264,0.156,0.0,0.0931,0.491,156.503,304000,2016
All Eyez (feat. Jeremih),0.419,0.655,0,-6.679,1,0.247,0.0571,0.0,0.0962,0.353,76.835,215297,2016
Compton (feat. Stat Quo),0.458,0.684,5,-10.29,1,0.642,0.0607,0.0,0.0932,0.418,172.311,212632,2013
"F*ck a B*tch (feat. Nipsey Hussle, Elijah Black, Joe Moses)",0.831,0.455,0,-11.552,1,0.376,0.229,0.0,0.273,0.551,96.977,227641,2013
"Same Ho*s (feat. Ty$, Nipsey Hussle)",0.771,0.393,7,-10.164,1,0.1,0.107,0.0,0.108,0.0442,96.963,222680,2013
"Astronaut P*ssy (feat. Skeme, ScHoolboy Q)",0.717,0.822,1,-6.813,1,0.24,0.264,0.0,0.0648,0.591,123.957,303519,2013
Bang,0.657,0.645,1,-3.418,1,0.352,0.0187,0.0,0.0961,0.471,96.173,217360,2006
Ol' English,0.56,0.503,4,-6.618,0,0.273,0.00603,0.0,0.114,0.254,77.168,284227,2006
Da Shit,0.646,0.831,6,-2.219,0,0.13,0.000608,0.0,0.303,0.426,85.972,323107,2006
It's Okay (One Blood),0.608,0.875,7,-5.642,1,0.231,0.000921,0.0,0.125,0.589,163.443,257600,2006
What You Want (feat. Total),0.838,0.72,10,-6.593,0,0.384,0.0312,1.11e-05,0.422,0.845,93.76,242947,1997
Terrorist Threats (feat. Danny Brown & Jhene Aiko),0.775,0.565,2,-8.394,1,0.179,0.288,0.0,0.352,0.477,119.991,264284,2012
Dear Summer,0.548,0.893,6,-4.403,0,0.602,0.0838,0.0,0.0842,0.667,172.241,173200,2005
Rolling Stone,0.693,0.323,3,-11.97,0,0.0306,0.405,2.19e-05,0.149,0.669,129.964,230547,2012
"Money, Power & Respect (feat. DMX & Lil' Kim)",0.706,0.747,9,-3.901,0,0.286,0.00533,0.0,0.204,0.505,95.547,270493,1998
Money Over Bullshit,0.432,0.777,7,-7.805,1,0.294,0.00128,0.0,0.123,0.443,85.425,256080,2007
Black Republican,0.488,0.864,0,-5.849,1,0.384,0.00297,3.38e-06,0.0945,0.327,115.664,225387,2007
Still Dreaming,0.547,0.825,7,-8.499,1,0.212,0.105,0.000248,0.14,0.589,119.743,217827,2007
Blunt Ashes,0.777,0.462,8,-10.32,0,0.13,0.0137,0.000413,0.149,0.275,129.923,243240,2007
Queens Get The Money,0.499,0.443,0,-11.418,0,0.417,0.78,0.0,0.128,0.747,170.093,132213,2008
Punish Me (feat. Miss Jones),0.693,0.548,1,-7.234,0,0.3,0.0874,1.78e-05,0.119,0.279,87.828,254867,1998
You Ain't a Killer,0.724,0.887,6,-7.076,1,0.393,0.134,0.0,0.112,0.745,90.945,254867,1998
Caribbean Connection (feat. Wyclef Jean),0.763,0.898,7,-6.192,1,0.347,0.101,0.0,0.12,0.67,85.414,203800,1998
"Glamour Life (feat. Fat Joe, Triple Seis, Armageddon & Cuban Link)",0.511,0.763,7,-4.844,1,0.467,0.133,0.0,0.182,0.603,186.702,282827,1998
The Rain & The Sun (Interlude) (feat. dead prez & Prospect),0.611,0.475,1,-11.627,1,0.0533,0.0472,0.0011,0.369,0.516,83.058,105693,1998
Boomerang,0.65,0.8,1,-5.465,1,0.129,0.00338,0.0743,0.0895,0.68,93.296,215933,1998
You Came Up (feat. Noreaga),0.629,0.784,1,-6.435,1,0.379,0.399,0.0,0.31,0.7,89.926,234133,1998
Tres Leches (Triboro Trilogy) (feat. Prodigy & Inspektah Deck),0.508,0.866,4,-4.878,0,0.442,0.0319,0.0,0.348,0.476,188.29,259240,1998
Fast Money,0.738,0.906,0,-5.239,0,0.318,0.268,0.113,0.123,0.328,93.68,228800,1998
Parental Discretion (feat. Busta Rhymes),0.731,0.814,1,-6.458,1,0.32,0.234,0.0,0.0987,0.744,84.686,273440,1998
Off the Books (feat. Big Pun & Cuban Link),0.837,0.781,11,-3.798,1,0.171,0.00548,0.00394,0.134,0.763,100.512,168773,2001
It's So Hard (featuring Donell Jones) (feat. Donnell Jones),0.9,0.593,10,-6.629,0,0.333,0.0554,0.0,0.0304,0.633,92.946,172933,2000
New York Giants (featuring M.O.P.) (feat. M.O.P.) - Explict,0.516,0.856,0,-3.031,0,0.343,0.0264,0.0,0.359,0.743,84.155,210507,2000
My Dick (featuring Tony Sunshine) (feat. Tony Sunshine) - Explict,0.66,0.849,0,-4.856,1,0.296,0.251,0.0,0.103,0.756,186.804,199760,2000
Leatherface - Explict,0.585,0.946,10,-2.855,0,0.341,0.479,0.0,0.137,0.655,93.444,205200,2000
Nigga Shit - Explict,0.576,0.883,1,-3.214,0,0.302,0.523,0.0,0.291,0.635,93.637,105733,2000
Ms. Martin (with Remy Martin),0.737,0.855,7,-3.24,1,0.34,0.0628,0.0,0.514,0.739,175.905,256267,2000
My Turn,0.815,0.635,1,-7.107,0,0.346,0.369,0.00165,0.118,0.53,90.13,228373,2000
Ambition (feat. Meek Mill & Rick Ross),0.42,0.744,8,-5.033,1,0.396,0.398,8.54e-06,0.192,0.324,161.792,302547,2011
Darkseid,0.488,0.536,2,-11.221,1,0.412,0.412,0.0,0.23,0.581,81.55,126619,2021
UOENO,0.799,0.547,8,-7.728,0,0.333,0.516,0.0,0.662,0.596,124.584,342285,2019
12am in Atl,0.613,0.536,11,-7.125,0,0.356,0.279,0.0,0.248,0.479,74.027,200111,2021
Geordan Favors (feat. Deante' Hitchcock),0.906,0.402,2,-7.128,1,0.419,0.0768,0.0,0.129,0.592,143.077,193007,2021
200 Pies (feat. 2 Chainz),0.598,0.431,2,-12.261,1,0.358,0.701,1.48e-05,0.165,0.504,74.093,265384,2021
Fireman,0.682,0.723,1,-4.628,1,0.211,0.0109,0.0,0.406,0.364,80.634,263547,2005
Tie My Hands,0.812,0.448,11,-7.438,0,0.189,0.355,1.98e-05,0.112,0.212,89.966,319400,2008
Dr. Carter,0.532,0.509,7,-11.937,1,0.397,0.0606,0.0,0.261,0.279,132.065,264493,2008
Harlem,0.788,0.755,2,-3.513,1,0.316,0.0707,0.0,0.0803,0.384,112.148,142393,2016
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,1998
Gettin' Jiggy Wit It,0.866,0.905,6,-3.759,1,0.144,0.0223,0.0,0.223,0.845,107.874,228493,1998
No Diggity,0.867,0.646,1,-4.674,0,0.288,0.303,0.0,0.279,0.67,88.634,304600,1996
Put It In Your Mouth,0.636,0.751,7,-5.567,1,0.299,0.0427,0.000241,0.167,0.563,81.4,201533,1999
Hold Ya Head (feat. Bob Marley),0.719,0.556,5,-6.862,1,0.246,0.0912,1.15e-05,0.482,0.292,79.94,165747,2005
Notorious Thugs - 2014 Remaster,0.704,0.873,11,-4.057,0,0.144,0.121,5.12e-06,0.24,0.742,154.914,366880,1997
Hypnotize - 2014 Remaster,0.901,0.697,9,-3.439,1,0.28,0.145,0.0,0.287,0.67,93.941,229827,1997
Fuck You Tonight (feat. R. Kelly) - 2014 Remaster,0.578,0.57,5,-4.982,0,0.242,0.18,0.0,0.0632,0.716,177.772,345467,1997
What's Beef? - 2014 Remaster,0.698,0.694,9,-4.88,1,0.198,0.0526,4.73e-06,0.314,0.615,154.845,315360,1997
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,257400,1997
Niggas Bleed - 2014 Remaster,0.541,0.847,1,-3.386,1,0.264,0.354,0.0,0.231,0.546,83.778,291040,1997
Miss U - 2014 Remaster,0.738,0.545,7,-6.153,1,0.281,0.215,2.43e-05,0.279,0.541,172.077,299333,1997
Going Back to Cali - 2014 Remaster,0.851,0.647,9,-5.847,1,0.339,0.207,0.0,0.0447,0.596,99.17,307427,1997
Ten Crack Commandments - 2014 Remaster,0.612,0.85,1,-4.703,1,0.5,0.0393,0.0,0.255,0.781,173.497,204027,1997
You're Nobody (Til Somebody Kills You) - 2014 Remaster,0.626,0.842,7,-5.032,0,0.279,0.159,1.93e-05,0.0945,0.624,84.657,292933,1997
The World Is Filled... (feat. Too Short & Puff Daddy) - 2014 Remaster,0.82,0.715,6,-4.1,1,0.287,0.0279,0.0,0.149,0.844,86.054,294800,1997
Slow Jamz,0.569,0.744,2,-5.757,0,0.181,0.369,0.0,0.256,0.59,145.063,316053,2004
"Say Wassup (feat. Sc Hoolboy Q, Ab Soul & Kendrick Lamar)",0.757,0.771,5,-4.214,0,0.285,0.0465,0.0,0.291,0.203,77.02,263347,2011
O.P.P,0.848,0.838,4,-11.949,0,0.0721,0.0326,4.89e-06,0.124,0.787,97.736,271067,1991
Just a Friend,0.862,0.663,0,-9.004,1,0.21,0.12,0.0,0.318,0.837,85.308,238267,2009
Piru Love,0.786,0.665,6,-6.826,0,0.301,0.301,0.0,0.0828,0.736,77.553,371893,1993
Steady Dippin',0.817,0.793,10,-6.831,0,0.236,0.0764,0.0,0.0404,0.731,89.593,263760,1993
Shuda Beena B-Dog,0.82,0.737,6,-6.437,0,0.29,0.113,0.0,0.0669,0.566,94.623,282227,1993
Gs & Locs,0.813,0.606,6,-8.47,0,0.333,0.0471,0.0,0.142,0.525,94.728,230827,1994
Damu Ride,0.635,0.599,1,-10.432,0,0.361,0.0367,0.0,0.567,0.733,172.259,286493,1996
Friend Or Foe '98,0.899,0.665,11,-7.151,1,0.398,0.00978,0.0,0.187,0.699,93.738,129267,1997
Where I'm From,0.744,0.865,11,-4.661,0,0.35,0.0578,0.0,0.283,0.591,162.065,266733,1997
Always Be My Sunshine,0.676,0.658,6,-9.227,0,0.314,0.0127,0.000938,0.574,0.677,90.227,283360,1997
Real Niggaz,0.713,0.63,10,-6.594,0,0.463,0.0619,0.0,0.84,0.848,94.087,315293,2001
Hard Knock Life (Ghetto Anthem),0.816,0.896,9,-1.736,0,0.332,0.125,0.00337,0.019,0.574,77.008,240600,2010
"Nigga What, Nigga Who (Originator 99)",0.879,0.626,9,-8.788,1,0.323,0.312,0.0,0.058,0.75,132.784,233173,1998
"Money, Cash, Hoes",0.87,0.574,1,-6.747,1,0.393,0.0106,0.0,0.209,0.46,90.099,286133,1998
A Week Ago,0.799,0.719,7,-8.677,1,0.242,0.00303,1.55e-05,0.1,0.306,90.292,300493,1998
Can I Get A...,0.792,0.694,8,-8.496,0,0.33,0.0619,2.32e-05,0.25,0.804,177.094,309773,1998
It's Like That,0.974,0.607,8,-10.347,1,0.0906,0.00732,0.0,0.0888,0.627,120.961,287147,2013
Money Ain't A Thang,0.86,0.702,6,-8.412,0,0.234,0.0546,0.0,0.104,0.857,100.047,253240,1998
So Ghetto,0.683,0.714,8,-7.208,1,0.356,0.0733,0.0,0.0611,0.843,92.283,240800,1999
It's Hot (Some Like It Hot),0.765,0.864,11,-5.593,0,0.505,0.369,0.0,0.239,0.677,81.68,255467,1999
Big Pimpin',0.88,0.814,11,-6.307,0,0.14,0.168,0.00672,0.0584,0.942,138.083,283067,1999
Come And Get Me,0.765,0.739,8,-7.838,0,0.413,0.0511,2.01e-05,0.293,0.524,82.998,402867,1999
Anything,0.779,0.655,6,-6.65,0,0.197,0.264,1.33e-06,0.29,0.58,83.479,182498,2019
I Just Wanna Love U (Give It 2 Me),0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-06,0.0352,0.801,98.631,227867,2000
This Can't Be Life,0.658,0.809,6,-5.462,0,0.302,0.236,1.17e-06,0.389,0.648,84.525,288227,2000
Get Your Mind Right Mami,0.88,0.569,8,-6.484,0,0.306,0.0307,1.16e-05,0.276,0.772,86.445,262133,2000
"Girls, Girls, Girls",0.509,0.952,2,-4.444,0,0.336,0.144,0.0,0.135,0.7,83.068,275373,2001
Heart Of The City (Ain't No Love),0.606,0.943,6,-3.948,1,0.276,0.088,0.0039,0.342,0.802,171.027,223240,2001
Song Cry,0.654,0.866,7,-3.318,0,0.151,0.236,0.0,0.306,0.505,85.488,302360,2001
Blueprint (Momma Loves Me),0.805,0.54,1,-6.36,1,0.559,0.0217,0.0,0.0728,0.71,78.726,220733,2001
03' Bonnie & Clyde,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,205560,2002
Excuse Me Miss,0.714,0.862,6,-5.531,1,0.286,0.0305,0.0,0.0884,0.887,92.849,281240,2002
Dirt Off Your Shoulder,0.78,0.657,1,-7.149,1,0.317,0.0321,2.56e-06,0.339,0.648,163.969,245173,2003
99 Problems,0.494,0.887,6,-4.297,0,0.398,0.00661,0.0,0.103,0.548,89.554,234627,2003
Lucifer,0.551,0.927,6,-2.263,0,0.43,0.0508,0.0,0.0739,0.839,171.4,192040,2003
Oh My God,0.896,0.428,7,-7.539,1,0.432,0.0252,0.0,0.0804,0.616,144.979,186213,2019
Show Me What You Got,0.43,0.956,10,-1.019,0,0.272,0.0313,0.0,0.315,0.436,105.678,223080,2006
Lost One,0.807,0.693,8,-2.796,0,0.155,0.225,0.0,0.0417,0.635,84.002,224293,2006
Thank You,0.486,0.937,1,-1.063,1,0.257,0.329,0.00031,0.185,0.883,85.725,249480,2009
D.O.A. (Death Of Auto-Tune),0.569,0.869,3,-5.432,0,0.217,0.0342,0.0,0.0718,0.492,86.62,256387,2009
On To The Next One,0.546,0.908,10,-1.655,0,0.417,0.215,9.47e-06,0.107,0.59,116.885,256133,2009
Already Home,0.545,0.868,0,-2.283,1,0.305,0.074,0.0,0.735,0.605,80.485,269853,2009
Young Forever,0.637,0.69,9,-3.214,0,0.0693,0.417,0.0,0.211,0.103,140.329,253907,2009
Diamonds From Sierra Leone - Remix,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,233400,2005
Dead Presidents II,0.758,0.912,0,-8.758,0,0.349,0.172,1.09e-06,0.149,0.573,87.335,266067,1996
Still Me,0.517,0.748,8,-7.318,1,0.333,0.0414,0.0,0.355,0.529,162.021,135240,2012
Murder,0.643,0.537,9,-11.125,0,0.124,0.00363,0.0,0.815,0.388,66.489,187690,2014
Blackwall Bangin,0.737,0.528,1,-12.078,1,0.429,0.173,0.0,0.645,0.385,84.956,146860,2012
Gimme That,0.749,0.652,2,-9.535,1,0.29,0.0473,0.0,0.395,0.834,142.184,107546,2012
Baggage Claim,0.395,0.81,5,-8.521,0,0.492,0.174,0.0,0.33,0.604,78.353,193507,2012
Compton Story,0.669,0.7,10,-7.953,0,0.347,0.34,0.0,0.703,0.597,88.892,232454,2012
Put Em to Bed,0.355,0.976,1,-3.595,1,0.566,0.0057,0.0,0.373,0.462,79.948,221027,2012
Code Red,0.354,0.794,11,-6.982,1,0.165,0.00124,0.0,0.797,0.727,81.59,80160,2012
Hood Morning,0.616,0.696,9,-7.794,0,0.493,0.27,0.0,0.266,0.295,88.496,207229,2012
Drug Test,0.659,0.62,5,-11.68,0,0.152,0.202,0.00113,0.77,0.606,93.989,149577,2012
Monsters in My Head,0.759,0.48,4,-12.944,0,0.31,0.5,0.0,0.665,0.441,110.619,219690,2012
Wow,0.629,0.62,10,-6.754,0,0.365,0.289,0.0,0.691,0.362,76.462,238864,2012
Uncle Otis,0.403,0.81,1,-8.1,0,0.654,0.179,0.0,0.355,0.593,88.824,202867,2012
Change Your Life,0.565,0.689,1,-6.274,1,0.286,0.276,0.0,0.796,0.517,97.079,246883,2012
I'm On,0.601,0.588,10,-7.762,0,0.162,0.415,0.0,0.515,0.66,97.955,225672,2012
She Wanna Have My Baby,0.715,0.576,11,-6.548,0,0.287,0.695,0.0,0.13,0.483,80.059,240144,2012
Street Talkin',0.934,0.495,5,-7.483,0,0.346,0.0544,0.0,0.0934,0.836,101.781,221200,1999
Children's Story,0.917,0.384,1,-14.559,1,0.128,0.11,0.0,0.152,0.752,102.651,242133,1988
U Know (feat. Dr. Dre),0.691,0.709,8,-5.489,0,0.235,0.0529,0.0122,0.388,0.558,89.922,206427,2000
"Alkaholik (feat. Erik Sermon, J Ro & Tash)",0.893,0.514,11,-5.08,1,0.283,0.18,0.0,0.0596,0.787,95.848,219160,2000
Kenny Parker Show 2001 (feat. KRS-One),0.759,0.916,1,-3.971,1,0.381,0.19,0.0,0.269,0.494,102.771,285907,2000
D.N.A (Drugs-n-Alkahol) (feat. Snoop Dogg),0.889,0.658,1,-4.06,1,0.194,0.032,0.0,0.374,0.755,88.923,277493,2000
Best of Things,0.896,0.59,5,-3.644,0,0.208,0.0869,0.0,0.677,0.894,93.947,200760,2000
Get Your Walk On,0.909,0.74,1,-2.361,1,0.26,0.0562,0.0,0.0593,0.802,97.855,219840,2000
Double Up (feat. Belly and Dom Kennedy),0.604,0.436,2,-8.32,1,0.188,0.0544,0.000242,0.162,0.239,107.978,361280,2018
Victory Lap (feat. Stacy Barthe),0.597,0.755,4,-2.209,0,0.052,0.0423,0.0,0.582,0.0467,89.146,238333,2018
Succa Proof (feat. Konshens and J. Black),0.382,0.953,2,-2.501,1,0.355,0.0122,0.0,0.238,0.329,87.532,201800,2018
Face the World,0.595,0.798,11,-10.198,1,0.446,0.0852,0.0,0.196,0.392,92.114,237013,2013
Crenshaw & Slauson (True Story),0.452,0.872,9,-4.569,0,0.588,0.164,0.0,0.487,0.0727,168.602,730400,2013
Stucc in the Grind,0.742,0.663,11,-4.076,0,0.284,0.194,0.000701,0.0715,0.532,89.794,228202,2017
Ocean Views,0.629,0.73,6,-5.223,0,0.292,0.0764,0.0,0.361,0.658,80.361,230080,2017
Question #1 (feat. Snoop Dogg),0.473,0.668,6,-11.175,0,0.558,0.188,0.0,0.053,0.544,99.627,150749,2017
Mercy (feat. Stacy Barthe),0.54,0.544,5,-8.737,0,0.0391,0.0118,0.000382,0.108,0.104,115.914,153128,2017
Everybody Rise,0.467,0.964,7,-6.157,0,0.343,0.0349,0.0,0.317,0.52,176.057,179560,1998
Extinction Level Event (The Song of Salvation),0.775,0.797,1,-5.181,1,0.287,0.00737,0.0,0.149,0.788,90.32,214040,1998
Tear Da Roof Off,0.562,0.83,10,-7.296,0,0.45,0.0168,0.0,0.162,0.61,178.686,216560,1998
Gimme Some More,0.591,0.855,11,-8.339,0,0.339,0.00832,5.87e-05,0.771,0.78,136.734,158467,1998
Party Is Goin' on over Here,0.679,0.75,9,-3.303,0,0.368,0.0186,6.72e-05,0.058,0.899,67.617,152067,1998
What's It Gonna Be?! (feat. Janet Jackson),0.797,0.934,1,-4.507,1,0.0926,0.204,0.0,0.119,0.519,116.438,324400,1998
State of the Union (feat. Rick Ross & Marc Scibilia),0.577,0.815,11,-4.414,1,0.144,0.0308,0.0,0.388,0.332,89.166,217753,2019
"Summer On Lock (feat. Pusha T, Jadakiss, Fabolous & Agent Sasco",0.605,0.887,4,-4.466,0,0.38,0.0742,0.0,0.64,0.464,171.797,224884,2018
If I Ruled the World (Imagine That) (feat. Lauryn Hill),0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.908,282373,1996
Nas Is Like,0.538,0.842,6,-4.928,0,0.416,0.00674,2.11e-06,0.0557,0.943,189.023,237000,1999
Memory Lane (Sittin' in da Park),0.648,0.841,0,-4.322,1,0.212,0.31,0.0,0.136,0.624,89.564,248213,1994
Represent,0.708,0.832,1,-4.964,1,0.318,0.02,2.8e-06,0.189,0.618,92.428,252600,2014
Street Dreams,0.752,0.611,11,-8.681,0,0.315,0.21,0.0,0.778,0.746,90.993,279933,1996
Shootouts,0.6,0.664,1,-6.734,1,0.334,0.0764,0.0,0.0922,0.323,174.22,226027,1996
Live Nigga Rap (feat. Mobb Deep),0.858,0.672,7,-8.192,1,0.255,0.0916,1.37e-05,0.0913,0.807,94.008,225067,1996
Hate Me Now (feat. Diddy),0.678,0.77,9,-4.399,0,0.222,0.00583,0.0,0.109,0.412,90.0,284000,1999
Ghetto Prisoners,0.586,0.751,9,-7.87,0,0.357,0.00455,0.0,0.177,0.539,90.224,240600,1999
Shoot 'em Up,0.901,0.401,6,-9.013,0,0.321,0.0495,0.0051,0.0947,0.567,89.99,173333,1999
Got Ur Self A Gun,0.699,0.869,11,-4.263,0,0.238,0.0118,0.0,0.0982,0.616,93.612,228627,2001
Smokin',0.907,0.641,5,-6.272,0,0.318,0.157,0.0,0.0816,0.498,96.817,227800,2001
Rewind,0.762,0.75,1,-6.37,1,0.322,0.00741,0.0,0.278,0.359,97.236,133933,2001
2nd Childhood,0.764,0.851,4,-5.182,1,0.239,0.0453,0.0,0.0899,0.884,79.01,231493,2001
Destroy & Rebuild,0.655,0.71,11,-4.595,0,0.392,0.0101,0.0,0.364,0.723,187.921,324267,2001
Rule (feat. Amerie),0.866,0.914,2,-2.335,1,0.253,0.0658,1.16e-05,0.135,0.782,98.958,272200,2001
What Goes Around (feat. Keon Bryce),0.468,0.864,2,-4.922,1,0.404,0.0568,0.0,0.308,0.598,184.899,299773,2001
Hip Hop Is Dead,0.762,0.741,0,-5.771,0,0.212,0.0145,0.0,0.227,0.607,110.851,225560,2007
Not Going Back,0.654,0.668,5,-9.135,0,0.248,0.196,0.0,0.0999,0.378,95.142,280870,2018
Hold Down The Block,0.797,0.516,11,-9.061,0,0.264,0.00169,1.2e-06,0.131,0.591,92.492,238040,2007
Play On Playa,0.881,0.667,7,-7.403,1,0.339,0.155,0.0,0.138,0.745,102.457,213093,2007
Can't Forget About You,0.642,0.749,5,-7.944,1,0.31,0.345,0.0,0.113,0.411,94.0,274267,2007
